,会社名,給与,初年度年収
76,株式会社東名 | 残業平均25h以内／名駅より徒歩5分,月給24万円以上+賞与年2回+各種手当 ※経験・能力などを考慮の上、決定します。 ※上記には固定残業代（3…,300万円～450万円
77,株式会社NTTフィールドテクノ | 年休120日↑/有休・女性育休100％取得/大阪府緊急雇用対策に賛同,時給1050円以上 + 諸手当 + 賞与年2回 【月収例】※時給1050円 ◆月収15万7500円+諸手当 　…時給1050円…,不明
78,NTTコムマーケティング株式会社 | 《NTTグループ》◆土日祝休み◆フレックス・リモートワーク推奨,月給16万6000円〜＋インセンティブ＋時間外手当 ※経験・年齢を考慮の上、当社規定により優遇します ※…,260万円～400万円
79,NTTコムマーケティング株式会社 | 《NTTグループ》土日休み◆フルフレックス・リモートワーク推奨,月給20万4000円〜＋インセンティブ＋時間外手当 ※経験・年齢を考慮の上、当社規定により優遇します ※…,310万円～400万円
80,レイス株式会社 | 国内TOPクラスの総合コンサルティング会社,"月給30万円〜75万円 ※経験・能力を考慮の上決定します。 ※一律指定職種手当 (30,000円)を含む。 ※月6…",450万円～1050万円
81,株式会社NTTフィールドテクノ | 年休120日↑/有休・女性育休100％取得/大阪府緊急雇用対策に賛同,"時給1,150円以上 ＋ 諸手当 《最短半年で月給制社員、最短1年で正社員登用が可能◎》 ▼1年ごとに正社員…",不明
82,株式会社NTTフィールドテクノ | 正社員登用制度あり／年休120日超／有休・女性育休取得率は100％,時給1050円以上 + 諸手当 + 賞与年2回 《正社員登用を目指せます◎》 ▼1年ごとに正社員登用の試験があ…,不明
83,NDS株式会社 | 【 インフラ企業 】完全土日祝休★有給取得推奨★年収例600万円,月給28万円〜42万円 ※経験やスキルを考慮し決定します。 【 モデル年収 】 40歳　年収600万円（手当を…,400万円～700万円
84,株式会社NTTデータ関西 | 【関西トップクラスのSIer】※年間休日122日 ※残業平均月21.3h,"月給21万1,790円〜 ※下限はあくまでも2019年度の新卒初任給実績です。経験や能力等に応じて決定します",400万円～600万円
85,株式会社アウトソーシングテクノロジー | SS事業本部ｌ東証一部上場企業グループ／土日祝休み／残業少なめ,"◆月給220,000円以上＋各種手当・報奨金 ※上記金額は35時間の固定残業代（月46,935円以上）を含み、超過…",250万円～450万円
86,NTTデータカスタマサービス株式会社 | 土日祝休み/年休120日以上/有給取得率100％/残業月平均18H以内,月給29万円〜45万円 【月収例】 月収37万円＝月給29.5万円+時間外手当4.2万円+住宅補助費3.3万円 ※経験…,450万円～700万円
87,アークシステム株式会社 | ポテンシャル重視の採用！／研修制度充実！／在宅勤務可能,月給22万円〜27万6000円（基本給）＋各種手当＋賞与年2回 ※スキル・経験・年齢などを考慮して決定します…,400万円～600万円
88,株式会社ビー・プライム | ★年休125日/完全週休2日（土日祝休み）★残業月平均20時間以下,月給25万円〜50万円 ※スキル・経験を考慮します ※試用期間3ヶ月あり(給与・待遇の変更はありません）,350万円～650万円
89,株式会社ヒューマンリレーション | *残業ほぼなし *未経験でも安心の教育制度あり *web面接を実施,月給21.5万円〜32万円 + 諸手当 ★★ 想定モデル年収例／年収320万円〜560万円 ★★ ※年齢、経験、能力…,不明
90,株式会社タクト・マシン・サービス | ★60種類以上の資格手当 ★全国採用 ★未経験歓迎,【関東】月給20万2000円以上+賞与年2回+各種手当 【東海】月給19万2000円以上+賞与年2回+各種手当 【その…,300万円～500万円
91,株式会社CADネットワークサービス,月給：35万円〜37万6000円＋賞与年２回 ※残業代100％支給 ※経験・能力などを考慮して、決定します。 …,500万円～650万円
92,株式会社トモテツセブン | ★創業111年創業のトモテツグループ★有給平均9日★残業月18h★,"◆高卒の場合：月給172,000円〜＋各種諸手当 ◆短大・専門卒の場合：月給182,000円〜＋各種諸手当 ◆大卒…",240万円～350万円
93,株式会社北見コンピューター・ビジネス | 【大手企業案件多数！】★年休120日以上／残業平均10h以下,"月給 185,500円〜314,400円 + 各種手当 ※経験、能力を考慮し、優遇いたします。 ※試行期間3ヶ月あり（…",300万円～550万円
94,株式会社サンテック | 東証二部上場/年休120日以上/残業月平均30H未満/賞与年4.5カ月,"月給18万8,000円〜39万円+地域手当3万7,000円〜11万円 ※経験・能力等を考慮の上、決定します ※固定残業…",330万円～780万円
